Number,City,Date,avg(°C),avg-high(°C),high(°C),high-date(yyyymmdd),avg-hPa,high-hPa,high-hPa-date(yyyymmdd),"sum of rain(00~24h, month)(mm)",One day high rain(mm),One day high rain-date(yyyymmdd)
108,Seoul,10-Jan,-4.5,-0.7,8.4,20100120,3.1,10.6,20100120,29.3,14.2,20100104
108,Seoul,10-Feb,1.4,4.9,17.9,20100224,4.5,15,20100225,55.3,26.5,20100225
108,Seoul,10-Mar,4.3,8.1,14.2,20100330,4.9,12,20100315,82.5,17,20100301
108,Seoul,10-Apr,9.5,14,20.7,20100420,6.5,14.7,20100420,62.8,27,20100426
108,Seoul,10-May,17.2,22,28.6,20100521,11.9,20.8,20100518,124,59,20100518
108,Seoul,10-Jun,23.4,28.2,32.7,20100610,17.2,24.6,20100630,127.6,71,20100612
108,Seoul,10-Jul,25.8,29.3,32.3,20100720,24.1,30.9,20100730,239.2,89.5,20100717
108,Seoul,10-Aug,26.5,30,33.8,20100805,26.5,34.6,20100804,598.7,99,20100829
108,Seoul,10-Sep,21.8,26,31.4,20100901,19.2,32.1,20100901,671.5,259.5,20100921
108,Seoul,10-Oct,14.5,19.3,24.2,20101009,10.5,17.7,20101011,25.6,15,20101002
108,Seoul,10-Nov,6.5,11.3,17.4,20101113,5.7,12.7,20101106,10.9,5,20101122
108,Seoul,10-Dec,-1.3,3.1,13.5,20101202,3.6,10.7,20101206,16.1,6,20101228
108,Seoul,11-Jan,-7.2,-3.4,0.3,20110114,2,4.5,20110123,8.9,5.3,20110123
108,Seoul,11-Feb,1.2,5.9,13.2,20110226,3.7,8.1,20110227,29.1,28.5,20110227
108,Seoul,11-Mar,3.6,8.3,16.8,20110331,4.1,9.5,20110313,14.6,5.8,20110324
108,Seoul,11-Apr,10.7,15.6,19,20110415,6.8,15.3,20110430,110.1,69,20110430
108,Seoul,11-May,17.9,23,31.2,20110529,11.1,22.4,20110509,53.4,15,20110520
108,Seoul,11-Jun,22,26.6,32.9,20110619,17,27.4,20110630,404.5,177,20110629
108,Seoul,11-Jul,24.6,28,34.1,20110718,24,29.7,20110727,1131,301.5,20110727
108,Seoul,11-Aug,25.8,29.5,34.1,20110805,24.3,30,20110803,166.8,41.5,20110803
108,Seoul,11-Sep,21.8,26.6,32.4,20110902,15.1,24,20110901,25.6,22.5,20110929
108,Seoul,11-Oct,14.2,19.3,23.4,20111013,8.8,15.5,20111011,32,20,20111015
108,Seoul,11-Nov,10.7,14.7,25.9,20111105,8.4,16.8,20111104,56.2,30,20111130
108,Seoul,11-Dec,-0.9,2.9,9.1,20111203,3.1,7.4,20111203,7.1,3.5,20111203
108,Seoul,12-Jan,-2.8,1.3,8.4,20120119,2.6,6.2,20120120,6.7,3.9,20120131
108,Seoul,12-Feb,-2,3,12.1,20120222,2.4,7.5,20120223,0.8,0.3,20120223
108,Seoul,12-Mar,5.1,9.5,16.2,20120329,4.6,12.1,20120329,47.4,22,20120323
108,Seoul,12-Apr,12.3,17.9,29.4,20120430,7.7,15.1,20120410,157,47.5,20120421
108,Seoul,12-May,19.7,25.1,29.3,20120522,10.6,16.9,20120527,8.2,6.5,20120514
108,Seoul,12-Jun,24.1,29.7,33.5,20120619,15.7,26.6,20120630,91.9,69.5,20120630
